,x,y,z
0,11.227725762609484,27.869223799456353,17.260465116279068
1,13.842746400885934,21.24735729386892,26.61395348837209
2,20.634920634920636,37.45086331293228,22.82758620689655
3,20.185848634124493,28.634870876250186,33.165517241379305
4,33.14338722501988,27.670288894778693,23.755102040816325
5,29.68885281385281,17.865259740259738,29.384999999999998
6,37.41432178932179,20.260642135642136,16.625
7,35.82523004633557,11.437055406904653,23.764824120603013
8,40.949675324675326,15.668966450216448,10.05625
9,41.887060308112936,7.505652242494348,16.79514170040486
10,49.91289198606271,18.593601520430788,10.704878048780486
11,52.11770211770212,15.177840177840176,19.789189189189187
12,46.40643447461629,27.767119244391967,13.765909090909089
13,44.97835497835498,24.98917748917749,24.96
14,38.31168831168831,33.333333333333336,18.32
15,37.579441834760985,29.796444690061712,25.863829787234042
16,29.98472116119175,30.511841100076392,12.80470588235294
17,25.99173553719008,24.515938606847698,17.923636363636362
18,42.57884972170686,20.562770562770563,9.77142857142857
