,x,y,z
0,10.81038961038961,28.992207792207793,17.404799999999998
1,13.474025974025974,21.428571428571427,26.581818181818182
2,20.806658130601793,37.708066581306014,22.2
3,20.742944206631357,28.15787564390916,33.41229050279329
4,33.2502319109462,27.14517625231911,23.474999999999998
5,30.19775678866588,17.107438016528924,28.838181818181816
6,37.3571783407849,20.22567596338088,16.124590163934425
7,36.45415190869736,10.783156237701691,22.741818181818182
8,41.42857142857142,15.961038961038959,10.793999999999999
9,42.266029934191366,7.19235921029643,15.998206278026904
10,50.63401165763371,19.16351365170263,12.311811023622047
11,52.432249831093756,15.17528714060506,20.358381502890172
12,46.8028786500124,27.98825378443213,14.308280254777069
13,44.233147804576376,25.838744588744586,25.25
14,36.8211334120425,33.33825265643448,16.172727272727272
15,36.860198624904505,30.530393975772125,24.927731092436975
16,28.32512315270936,30.329153605015673,12.320689655172414
17,25.834879406307977,24.165120593692023,17.708571428571428
18,42.44632918102306,19.652796183408427,8.816326530612244
